Player,player_id,team,date,home,opponent,win,team_pts,opp_pts,minutes,fgmade,fgatt,made3,att3,made1,att1,offrb,defrb,totrb,assist,steal,block,turnover,fouls,points,efficiency,,
Maya Moore,1,MIN,516,0,WAS,1,89,77,36,11,21,3,7,9,11,4,5,9,3,1,1,1,3,34,35,,
Maya Moore,1,MIN,518,1,CON,1,90,87,43,12,24,3,7,6,6,3,9,12,2,5,1,6,5,33,35,,
Maya Moore,1,MIN,523,0,TUL,1,94,93,35,13,21,5,9,7,7,3,10,13,2,2,0,4,2,38,43,,
Maya Moore,1,MIN,524,1,NYL,1,87,82,31,11,19,5,8,3,3,0,3,3,2,0,2,3,2,30,26,,
Maya Moore,1,MIN,526,0,CHI,1,75,72,35,5,14,1,3,3,3,1,6,7,3,3,0,2,2,14,16,,
Maya Moore,1,MIN,530,1,SAN,1,88,72,34,10,18,2,4,4,6,5,4,9,5,2,0,2,2,26,30,,
Maya Moore,1,MIN,601,0,SAN,1,87,79,40,8,19,1,5,1,2,4,5,9,4,4,1,3,4,18,21,,
Maya Moore,1,MIN,606,0,SEA,0,62,65,33,6,15,0,4,0,0,3,3,6,1,0,2,1,1,12,11,,
Maya Moore,1,MIN,608,0,LAS,1,85,72,40,5,17,0,4,2,3,3,10,13,3,0,1,1,3,12,15,,
Maya Moore,1,MIN,613,0,ATL,0,82,85,34,2,11,2,9,4,4,3,6,9,5,2,0,1,4,10,16,,
Maya Moore,1,MIN,615,1,PHO,0,72,80,26,6,18,2,9,0,0,1,5,6,3,1,0,5,0,14,7,,
Maya Moore,1,MIN,617,0,LAS,1,94,77,29,12,16,3,6,4,6,1,3,4,4,4,0,1,2,31,36,,
Maya Moore,1,MIN,618,0,PHO,0,79,92,37,15,26,2,10,4,4,0,4,4,3,5,2,0,3,36,39,,
Maya Moore,1,MIN,620,1,WAS,1,75,65,35,7,15,3,5,3,3,0,10,10,7,1,1,2,2,20,29,,
Maya Moore,1,MIN,622,1,IND,1,83,77,37,9,16,1,4,6,6,1,5,6,2,2,0,5,3,25,23,,
Maya Moore,1,MIN,627,0,SEA,0,71,81,38,8,13,2,4,2,3,5,5,10,2,2,0,0,3,20,28,,
Maya Moore,1,MIN,629,1,SEA,1,74,69,34,4,12,0,3,6,7,2,6,8,7,1,4,1,2,14,24,,
Maya Moore,1,MIN,703,1,SAN,1,91,84,35,6,18,2,4,7,8,2,4,6,5,2,0,3,2,21,18,,
Maya Moore,1,MIN,706,0,NYL,0,80,87,33,9,20,2,8,5,6,3,5,8,2,3,1,6,2,25,21,,
Maya Moore,1,MIN,708,1,LAS,1,83,72,35,11,23,1,7,7,7,0,6,6,3,0,2,1,1,30,28,,
Maya Moore,1,MIN,710,0,TUL,1,91,85,37,12,21,1,4,8,8,1,10,11,3,2,0,1,2,33,39,,
Maya Moore,1,MIN,713,1,SEA,1,77,60,31,10,21,1,4,5,6,4,8,12,3,2,1,4,3,26,28,,
Maya Moore,1,MIN,716,1,TUL,1,93,82,37,10,18,1,5,11,13,1,8,9,5,2,1,2,4,32,37,,
Maya Moore,1,MIN,722,1,ATL,1,112,108,46,16,30,7,9,9,11,2,8,10,4,2,1,5,4,48,44,,
Maya Moore,1,MIN,725,1,SAN,1,88,78,35,5,14,0,5,2,2,1,7,8,4,1,0,1,4,12,15,,
Maya Moore,1,MIN,727,0,CON,1,76,65,32,6,17,0,1,5,6,2,5,7,4,1,0,1,3,17,16,,
Maya Moore,1,MIN,731,1,PHO,1,75,67,31,7,20,2,5,4,4,4,5,9,3,4,1,2,3,20,22,,
Maya Moore,1,MIN,802,0,TUL,1,84,75,35,14,22,4,7,8,8,2,3,5,5,1,1,5,1,40,39,,
Maya Moore,1,MIN,805,0,IND,1,66,64,34,5,15,0,5,5,5,4,8,12,6,3,0,2,2,15,24,,
Maya Moore,1,MIN,807,1,CHI,1,74,64,32,6,14,0,3,5,7,1,4,5,3,3,1,2,2,17,17,,43
Maya Moore,1,MIN,809,0,PHO,0,80,82,37,11,20,3,6,5,5,1,5,6,0,2,2,2,4,30,29,,
Maya Moore,1,MIN,812,1,LAS,0,63,71,32,9,19,1,5,1,1,1,6,7,3,1,0,0,1,20,21,,
Maya Moore,1,MIN,815,0,SAN,0,76,92,31,8,14,2,3,2,2,0,4,4,3,0,0,1,3,20,20,,
Maya Moore,1,MIN,816,1,TUL,1,80,63,31,6,12,0,3,7,8,4,8,12,2,0,2,4,3,19,24,,
Skylar Diggins,2,TUL,517,0,SAN,0,76,80,32,6,17,2,5,6,6,5,3,8,9,3,0,2,5,20,27,,
Skylar Diggins,2,TUL,523,1,MIN,0,93,94,28,7,15,1,4,6,11,0,1,1,5,1,0,1,3,21,14,,
Skylar Diggins,2,TUL,528,0,SAN,0,79,82,35,8,12,1,2,0,0,0,1,1,7,0,0,2,1,17,19,,
Skylar Diggins,2,TUL,530,0,PHO,0,78,100,32,8,18,2,6,2,3,1,2,3,4,0,1,1,2,20,16,,
Skylar Diggins,2,TUL,601,0,SEA,0,60,62,28,3,8,0,2,0,0,1,1,2,4,1,0,5,0,6,3,,
Skylar Diggins,2,TUL,606,1,PHO,1,94,78,32,7,13,0,1,6,7,1,2,3,9,0,0,3,4,20,22,,
Skylar Diggins,2,TUL,610,1,NYL,1,72,57,38,9,19,1,3,2,3,0,3,3,7,1,0,2,1,21,19,,
Skylar Diggins,2,TUL,613,1,LAS,1,69,67,33,9,16,1,3,3,3,0,2,2,4,2,0,1,1,22,22,,
Skylar Diggins,2,TUL,615,1,SEA,1,85,79,37,7,15,2,3,10,11,0,2,2,2,0,2,3,3,26,20,,
Skylar Diggins,2,TUL,619,0,LAS,0,77,87,29,6,15,0,1,4,6,1,4,5,4,0,2,1,2,16,15,,
Skylar Diggins,2,TUL,620,0,PHO,0,80,91,31,4,15,1,6,3,3,1,0,1,7,1,0,1,3,12,9,,
Skylar Diggins,2,TUL,622,0,CHI,1,105,99,37,11,20,1,3,10,13,0,2,2,2,6,1,7,4,33,25,,
Skylar Diggins,2,TUL,625,0,IND,1,107,102,43,9,21,3,5,11,13,2,5,7,4,2,1,5,5,32,27,,
Skylar Diggins,2,TUL,628,1,LAS,0,89,92,41,9,18,1,3,10,11,1,3,4,3,0,1,3,4,29,24,,
Skylar Diggins,2,TUL,629,1,PHO,0,77,80,33,2,17,0,6,12,13,2,1,3,7,1,0,4,1,16,7,,
Skylar Diggins,2,TUL,701,0,NYL,0,74,90,35,7,18,2,5,7,8,0,0,0,6,1,1,2,1,23,17,,
Skylar Diggins,2,TUL,703,0,CON,1,96,83,34,7,17,1,2,5,6,1,1,2,3,0,1,2,1,20,13,,
Skylar Diggins,2,TUL,705,1,CON,0,76,78,36,10,19,3,4,7,8,0,1,1,6,3,0,1,2,30,29,,
Skylar Diggins,2,TUL,708,1,IND,0,76,78,38,5,13,1,4,12,12,1,1,2,4,1,0,3,3,23,19,,
Skylar Diggins,2,TUL,710,1,MIN,0,85,91,39,7,17,1,5,6,6,0,1,1,12,5,0,4,5,21,25,,
Skylar Diggins,2,TUL,712,1,WAS,0,74,91,34,7,20,0,2,2,3,1,1,2,3,1,0,3,1,16,5,,
Skylar Diggins,2,TUL,716,0,MIN,0,82,93,38,6,18,0,4,7,7,0,2,2,3,2,0,3,1,19,11,,
Skylar Diggins,2,TUL,717,1,SAN,1,95,90,37,6,14,0,1,7,7,0,3,3,8,0,2,3,1,19,21,,
Skylar Diggins,2,TUL,722,0,SAN,0,93,95,36,14,23,1,4,5,7,1,2,3,5,3,2,2,4,34,34,,
Skylar Diggins,2,TUL,725,0,WAS,0,77,82,35,9,19,0,2,1,2,0,1,1,5,1,0,1,5,19,14,,
Skylar Diggins,2,TUL,727,1,CHI,1,79,69,35,4,12,0,2,10,11,1,2,3,3,1,0,2,3,18,14,,
Skylar Diggins,2,TUL,729,1,SEA,1,80,74,37,4,12,1,4,2,2,1,2,3,3,0,1,3,2,11,7,,
Skylar Diggins,2,TUL,731,1,ATL,0,75,85,38,4,16,0,1,6,7,3,1,4,4,1,0,6,3,14,4,,
Skylar Diggins,2,TUL,802,1,MIN,0,75,84,35,5,15,1,4,4,5,0,0,0,3,0,2,3,2,15,6,,
Skylar Diggins,2,TUL,805,0,LAS,1,96,90,33,6,14,0,3,6,8,1,4,5,5,2,0,3,2,18,17,,
Skylar Diggins,2,TUL,808,1,SAN,1,79,62,37,5,13,2,3,2,4,0,1,1,8,4,0,2,2,14,15,,
Skylar Diggins,2,TUL,810,0,SEA,0,68,74,37,10,19,2,3,1,1,0,3,3,3,2,1,5,6,23,18,,
